Key,Id,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-Hant)
Conversation-19-01-01,,"真令人不舒服的森林！这里是什么地方？","真令人不舒服的森林！这里是什么地方？"
Conversation-19-01-02,,"这是大陆北方山脉之麓的黑森林，由于山脉的浓密的森林阻挡阳光，这一带看起来总是阴森森的，一般旅人都不敢行经此处。","这是大陆北方山脉之麓的黑森林，由于山脉的浓密的森林阻挡阳光，这一带看起来总是阴森森的，一般旅人都不敢行经此处。"
Conversation-19-01-03,,"过了此地，也就快到死之沼泽了，听说曾有人在这一带遭怪物攻击。。。","过了此地，也就快到死之沼泽了，听说曾有人在这一带遭怪物攻击。。。"
Conversation-19-01-04,,"我有不好的预感，大家要多小心！","我有不好的预感，大家要多小心！"
Conversation-19-01-05,,"哎呀！老爹你说对啦，前面果然有人来了！","哎呀！老爹你说对啦，前面果然有人来了！"
Conversation-19-01-06,,"约拿老头，上次在你手里折损了不少弟兄，今天这笔帐要一并讨回来！准备受死吧！","约拿老头，上次在你手里折损了不少弟兄，今天这笔帐要一并讨回来！准备受死吧！"
Conversation-19-01-07,,"可恶，又是阴魂不散的死亡骷髅！","可恶，又是阴魂不散的死亡骷髅！"
Conversation-19-01-08,,"不知死活的家伙，你们的罪业就到此为止了！我今天绝不放过你们！","不知死活的家伙，你们的罪业就到此为止了！我今天绝不放过你们！"
Conversation-19-01-09,,"咦！这是恶名昭彰的「死亡骷髅」佣兵团啊！他们竟然在这里出现，难道果真是有人在暗中。。。。 ","咦！这是恶名昭彰的「死亡骷髅」佣兵团啊！他们竟然在这里出现，难道果真是有人在暗中。。。。 "
Conversation-19-01-10,,"嘿！那可不是巴拿罗西亚阁䨋吗？真巧啊！","嘿！那可不是巴拿罗西亚阁䨋吗？真巧啊！"
Conversation-19-01-11,,"啊！你是凯啦斯吗！好一阵子没碰面了，想不到会在这里遇见你。。。","啊！你是凯啦斯吗！好一阵子没碰面了，想不到会在这里遇见你。。。"
Conversation-19-01-12,,"巴拿罗西亚阁下，现在可能不是叙旧的好时候，先让我们解决了这帮想谋害约拿先生的恶徒再说。","巴拿罗西亚阁下，现在可能不是叙旧的好时候，先让我们解决了这帮想谋害约拿先生的恶徒再说。"
Conversation-19-01-13,,"约拿先生也在这里？好极了，这场仗也算上我一份！","约拿先生也在这里？好极了，这场仗也算上我一份！"
Conversation-19-02-01,,"。。为什么。。为什么这些小鬼竟然如此厉害。。。。","。。为什么。。为什么这些小鬼竟然如此厉害。。。。"
Conversation-19-03-01,,"这场仗打的真实漂亮！对于各位的表现，我个人㜟是非常佩服。","这场仗打的真实漂亮！对于各位的表现，我个人㜟是非常佩服。"
Conversation-19-03-02,,"巴拿罗西䪚阁下，陛下不是和您在一起的吗？","巴拿罗西䪚阁下，陛下不是和您在一起的吗？"
Conversation-19-03-03,,"啊，我早该想到的，原来你是圣寇拉斯的部下。。。","啊，我早该想到的，原来你是圣寇拉斯的部下。。。"
Conversation-19-03-04,,"是的，我们在行经死亡沼泽中发现「死亡骷髅」在此出没，陛下担心他们的目标可能是你们，所以命令我先来查看一番。","是的，我们在行经死亡沼泽中发现「死亡骷髅」在此出没，陛下担心他们的目标可能是你们，所以命令我先来查看一番。"
Conversation-19-03-05,,"原来如此。。。。那他往哪里去了？","原来如此。。。。那他往哪里去了？"
Conversation-19-03-06,,"陛下说他已经发现了一些蛛丝马迹，要赶往西方高塔一趟，我想现在应该还在路上吧。","陛下说他已经发现了一些蛛丝马迹，要赶往西方高塔一趟，我想现在应该还在路上吧。"
Conversation-19-03-07,,"西方高塔。。。。那不就是「圣灵之塔」吗？那里是我们精灵组的发源圣地，想不到敌人也看上了那里，不知道他们有何意图？","西方高塔。。。。那不就是「圣灵之塔」吗？那里是我们精灵组的发源圣地，想不到敌人也看上了那里，不知道他们有何意图？"
Conversation-19-03-08,,"总之，我们要尽快和圣寇拉斯会合，看来他已发现了重要的线索，往后的几天可能得赶一下路，大家忍耐一点。","总之，我们要尽快和圣寇拉斯会合，看来他已发现了重要的线索，往后的几天可能得赶一下路，大家忍耐一点。"
Conversation-19-03-09,,"这有什么问题！倒是约拿先生您年事已大，可不要太勉强喔！","这有什么问题！倒是约拿先生您年事已大，可不要太勉强喔！"
Conversation-19-03-10,,"呵呵。。索尔，谢谢你的关心，我会注意的。我们这就上路吧！","呵呵。。索尔，谢谢你的关心，我会注意的。我们这就上路吧！"
